Date,Depth,Set Number
03-05-2025-16-40,6,1


Timestamp,Soil Moisture Value,Soil Moisture (%),Soil Temperature (°C)
03-05-2025-16-40,321,89,14.06
03-05-2025-16-40,321,89,14.06
03-05-2025-16-40,316,90,14.06
03-05-2025-16-40,316,90,14.06
03-05-2025-16-40,324,89,14.06
03-05-2025-16-41,324,89,14.06
03-05-2025-16-41,318,90,14.06
03-05-2025-16-41,318,90,14.06
03-05-2025-16-41,320,90,14.06
03-05-2025-16-41,320,90,14.06
03-05-2025-16-41,318,90,14.06
03-05-2025-16-41,318,90,14.06
03-05-2025-16-41,320,90,14.06
03-05-2025-16-41,320,90,14.06
03-05-2025-16-41,319,90,14.06
03-05-2025-16-41,319,90,14.06
03-05-2025-16-41,316,90,14.06
03-05-2025-16-41,316,90,14.06
03-05-2025-16-41,323,89,14.06
03-05-2025-16-41,323,89,14.06
03-05-2025-16-41,317,90,14.06
03-05-2025-16-41,317,90,14.06
03-05-2025-16-41,320,90,14.06
03-05-2025-16-41,320,90,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,322,89,14.06
03-05-2025-16-41,322,89,14.06
03-05-2025-16-41,324,89,14.06
03-05-2025-16-41,324,89,14.06
03-05-2025-16-41,316,90,14.06
03-05-2025-16-41,316,90,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,317,90,14.06
03-05-2025-16-41,317,90,14.06
03-05-2025-16-41,322,89,14.06
03-05-2025-16-41,322,89,14.06
03-05-2025-16-41,319,90,14.0
03-05-2025-16-41,319,90,14.0
03-05-2025-16-41,319,90,14.06
03-05-2025-16-41,319,90,14.06
03-05-2025-16-41,322,89,14.06
03-05-2025-16-41,322,89,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,321,89,14.06
03-05-2025-16-41,319,90,14.0
03-05-2025-16-41,319,90,14.0
03-05-2025-16-41,319,90,14.0
03-05-2025-16-41,319,90,14.0
03-05-2025-16-41,324,89,14.0
03-05-2025-16-41,324,89,14.0
03-05-2025-16-41,315,90,14.0
03-05-2025-16-41,315,90,14.0
03-05-2025-16-41,324,89,14.06
03-05-2025-16-41,324,89,14.06
03-05-2025-16-41,317,90,14.06
03-05-2025-16-41,317,90,14.06
03-05-2025-16-41,323,89,14.0
03-05-2025-16-41,323,89,14.0
03-05-2025-16-41,318,90,14.0
03-05-2025-16-42,318,90,14.0
03-05-2025-16-42,321,89,14.0
03-05-2025-16-42,321,89,14.0
03-05-2025-16-42,321,89,14.06
03-05-2025-16-42,321,89,14.06
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,321,89,14.0
03-05-2025-16-42,321,89,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,320,90,14.06
03-05-2025-16-42,320,90,14.06
03-05-2025-16-42,316,90,14.0
03-05-2025-16-42,316,90,14.0
03-05-2025-16-42,324,89,14.0
03-05-2025-16-42,324,89,14.0
03-05-2025-16-42,314,90,14.0
03-05-2025-16-42,314,90,14.0
03-05-2025-16-42,322,89,14.0
03-05-2025-16-42,322,89,14.0
03-05-2025-16-42,321,89,14.0
03-05-2025-16-42,321,89,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,320,90,14.06
03-05-2025-16-42,320,90,14.06
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,317,90,14.0
03-05-2025-16-42,317,90,14.0
03-05-2025-16-42,325,89,14.0
03-05-2025-16-42,325,89,14.0
03-05-2025-16-42,316,90,14.0
03-05-2025-16-42,316,90,14.0
03-05-2025-16-42,323,89,14.0
03-05-2025-16-42,323,89,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,323,89,14.0
03-05-2025-16-42,323,89,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,320,90,14.0
03-05-2025-16-42,319,90,13.94
03-05-2025-16-42,319,90,13.94
03-05-2025-16-42,319,90,14.0
03-05-2025-16-42,319,90,14.0
03-05-2025-16-43,323,89,13.94
03-05-2025-16-43,323,89,13.94
03-05-2025-16-43,316,90,13.94
03-05-2025-16-43,316,90,13.94
03-05-2025-16-43,321,89,13.94
03-05-2025-16-43,321,89,13.94
03-05-2025-16-43,319,90,14.0
03-05-2025-16-43,319,90,14.0
03-05-2025-16-43,320,90,13.94
03-05-2025-16-43,320,90,13.94
03-05-2025-16-43,320,90,14.0
03-05-2025-16-43,320,90,14.0
03-05-2025-16-43,320,90,14.0
03-05-2025-16-43,320,90,14.0
03-05-2025-16-43,323,89,13.94
03-05-2025-16-43,323,89,13.94
03-05-2025-16-43,315,90,13.94
03-05-2025-16-43,315,90,13.94
03-05-2025-16-43,322,89,13.94
03-05-2025-16-43,322,89,13.94
03-05-2025-16-43,318,90,13.94
03-05-2025-16-43,318,90,13.94
03-05-2025-16-43,320,90,13.94
03-05-2025-16-43,320,90,13.94
03-05-2025-16-43,319,90,13.94
03-05-2025-16-43,319,90,13.94
03-05-2025-16-43,320,90,14.0
03-05-2025-16-43,320,90,14.0
03-05-2025-16-43,320,90,13.94
03-05-2025-16-43,320,90,13.94
03-05-2025-16-43,314,90,13.94
03-05-2025-16-43,314,90,13.94
03-05-2025-16-43,326,89,14.0
