CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio2,192.168.1.254,192.168.1.11,60,15,100,150,dirt,0.5,None, None
Date (Mon/Day/Year),Time (Hour:Min:Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,USRSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-05,16:41:47,17,5.0,2.0,6.0,34.00,24-22:20:33,70,-68.5,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:08,0-07:45:36,7.0,-61.0,-61.0,-58.0,-101.0,43.0,MCS 14 short GI,252987,MCS 7 short GI,135211,0
2025-03-05,16:41:57,17,5.0,2.0,6.0,34.00,24-22:20:44,70,-68.0,-65.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:17,0-07:45:48,7.0,-60.0,-62.0,-58.0,-99.0,41.0,MCS 15,253113,MCS 7 short GI,135284,0
2025-03-05,16:42:08,17,5.0,2.0,6.0,34.00,24-22:20:52,70,-68.0,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:26,0-07:45:59,7.0,-61.0,-60.0,-57.0,-99.0,42.0,MCS 15 short GI,253240,MCS 7 short GI,135344,0
2025-03-05,16:42:18,17,5.0,2.0,6.0,34.00,24-22:21:04,70,-67.0,-65.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:38,0-07:46:08,7.0,-61.0,-60.0,-57.0,-101.0,44.0,MCS 15,253338,MCS 7 short GI,135400,0
2025-03-05,16:42:29,17,5.0,2.0,6.0,34.00,24-22:21:16,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:02:50,0-07:46:19,7.0,-60.0,-60.0,-57.0,-100.0,43.0,MCS 15,253455,MCS 7 short GI,135474,0
2025-03-05,16:42:39,17,5.0,2.0,6.0,34.00,24-22:21:23,70,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:00,0-07:46:27,7.0,-60.0,-60.0,-57.0,-99.0,42.0,MCS 15,253555,MCS 7 short GI,135523,0
2025-03-05,16:42:49,17,5.0,2.0,6.0,34.00,24-22:21:35,70,-69.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:08,0-07:46:39,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 14 short GI,253703,MCS 7 short GI,135614,0
2025-03-05,16:43:00,17,5.0,2.0,6.0,34.00,24-22:21:47,70,-68.0,-64.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:20,0-07:46:51,7.0,-60.0,-60.0,-57.0,-100.0,43.0,MCS 15,253816,MCS 7 short GI,135686,0
2025-03-05,16:43:10,17,5.0,2.0,6.0,34.00,24-22:21:55,70,-69.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:29,0-07:46:59,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,253908,MCS 7 short GI,135722,0
2025-03-05,16:43:20,17,5.0,2.0,6.0,34.00,24-22:22:07,70,-69.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,30.00,1-00:03:41,0-07:47:11,7.0,-60.0,-63.0,-58.0,-101.0,43.0,MCS 15,254033,MCS 7 short GI,135809,0
